gold_label	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence1	sentence2	pairID	heuristic	subcase	template
entailment	( ( The judges ) ( ( recommended ( ( the tourist ) ( that ( believed ( the authors ) ) ) ) ) . ) )	( ( The tourist ) ( ( believed ( the authors ) ) . ) )	(ROOT (S (NP (DT The) (NNS judges)) (VP (VBD recommended) (NP (NP (DT the) (NN tourist)) (SBAR (WHNP (WDT that)) (S (VP (VBD believed) (NP (DT the) (NNS authors))))))) (. .)))	(ROOT (S (NP (DT The) (NN tourist)) (VP (VBD believed) (NP (DT the) (NNS authors))) (. .)))	The judges recommended the tourist that believed the authors .	The tourist believed the authors .	ex5000	lexical_overlap	le_relative_clause	temp28
entailment	( ( The tourist ) ( ( advised ( ( the artists ) ( who ( admired ( the secretaries ) ) ) ) ) . ) )	( ( The artists ) ( ( admired ( the secretaries ) ) . ) )	(ROOT (S (NP (DT The) (NN tourist)) (VP (VBD advised) (NP (NP (DT the) (NNS artists)) (SBAR (WHNP (WP who)) (S (VP (VBD admired) (NP (DT the) (NNS secretaries))))))) (. .)))	(ROOT (S (NP (DT The) (NNS artists)) (VP (VBD admired) (NP (DT the) (NNS secretaries))) (. .)))	The tourist advised the artists who admired the secretaries .	The artists admired the secretaries .	ex5001	lexical_overlap	le_relative_clause	temp28
entailment	( ( The athlete ) ( ( called ( ( the manager ) ( that ( admired ( the judges ) ) ) ) ) . ) )	( ( The manager ) ( ( admired ( the judges ) ) . ) )	(ROOT (S (NP (DT The) (NN athlete)) (VP (VBD called) (NP (NP (DT the) (NN manager)) (SBAR (WHNP (WDT that)) (S (VP (VBD admired) (NP (DT the) (NNS judges))))))) (. .)))	(ROOT (S (NP (DT The) (NN manager)) (VP (VBD admired) (NP (DT the) (NNS judges))) (. .)))	The athlete called the manager that admired the judges .	The manager admired the judges .	ex5002	lexical_overlap	le_relative_clause	temp28
entailment	( ( ( The actors ) ( that ( ( the students ) contacted ) ) ) ( ( admired ( the lawyer ) ) . ) )	( ( The students ) ( ( contacted ( the actors ) ) . ) )	(ROOT (S (NP (NP (DT The) (NNS actors)) (SBAR (WHNP (WDT that)) (S (NP (DT the) (NNS students)) (VP (VBD contacted))))) (VP (VBD admired) (NP (DT the) (NN lawyer))) (. .)))	(ROOT (S (NP (DT The) (NNS students)) (VP (VBD contacted) (NP (DT the) (NNS actors))) (. .)))	The actors that the students contacted admired the lawyer .	The students contacted the actors .	ex5003	lexical_overlap	le_relative_clause	temp26
entailment	( ( The judge ) ( ( admired ( ( the professor ) ( who ( ( the authors ) avoided ) ) ) ) . ) )	( ( The authors ) ( ( avoided ( the professor ) ) . ) )	(ROOT (S (NP (DT The) (NN judge)) (VP (VBD admired) (NP (NP (DT the) (NN professor)) (SBAR (WHNP (WP who)) (S (NP (DT the) (NNS authors)) (VP (VBD avoided)))))) (. .)))	(ROOT (S (NP (DT The) (NNS authors)) (VP (VBD avoided) (NP (DT the) (NN professor))) (. .)))	The judge admired the professor who the authors avoided .	The authors avoided the professor .	ex5004	lexical_overlap	le_relative_clause	temp29
entailment	( ( The secretary ) ( ( advised ( ( the managers ) ( who ( ( the actors ) introduced ) ) ) ) . ) )	( ( The actors ) ( ( introduced ( the managers ) ) . ) )	(ROOT (S (NP (DT The) (NN secretary)) (VP (VBD advised) (NP (NP (DT the) (NNS managers)) (SBAR (WHNP (WP who)) (S (NP (DT the) (NNS actors)) (VP (VBD introduced)))))) (. .)))	(ROOT (S (NP (DT The) (NNS actors)) (VP (VBD introduced) (NP (DT the) (NNS managers))) (. .)))	The secretary advised the managers who the actors introduced .	The actors introduced the managers .	ex5005	lexical_overlap	le_relative_clause	temp29
entailment	( ( The lawyer ) ( ( recommended ( ( the actors ) ( who ( ( the secretary ) believed ) ) ) ) . ) )	( ( The secretary ) ( ( believed ( the actors ) ) . ) )	(ROOT (S (NP (DT The) (NN lawyer)) (VP (VBD recommended) (NP (NP (DT the) (NNS actors)) (SBAR (WHNP (WP who)) (S (NP (DT the) (NN secretary)) (VP (VBD believed)))))) (. .)))	(ROOT (S (NP (DT The) (NN secretary)) (VP (VBD believed) (NP (DT the) (NNS actors))) (. .)))	The lawyer recommended the actors who the secretary believed .	The secretary believed the actors .	ex5006	lexical_overlap	le_relative_clause	temp29
entailment	( ( ( The banker ) ( who ( ( the athletes ) recognized ) ) ) ( ( thanked ( the authors ) ) . ) )	( ( The athletes ) ( ( recognized ( the banker ) ) . ) )	(ROOT (S (NP (NP (DT The) (NN banker)) (SBAR (WHNP (WP who)) (S (NP (DT the) (NNS athletes)) (VP (VBD recognized))))) (VP (VBD thanked) (NP (DT the) (NNS authors))) (. .)))	(ROOT (S (NP (DT The) (NNS athletes)) (VP (VBD recognized) (NP (DT the) (NN banker))) (. .)))	The banker who the athletes recognized thanked the authors .	The athletes recognized the banker .	ex5007	lexical_overlap	le_relative_clause	temp26
entailment	( ( The managers ) ( ( recognized ( ( the bankers ) ( that ( called ( the students ) ) ) ) ) . ) )	( ( The bankers ) ( ( called ( the students ) ) . ) )	(ROOT (S (NP (DT The) (NNS managers)) (VP (VBD recognized) (NP (NP (DT the) (NNS bankers)) (SBAR (WHNP (WDT that)) (S (VP (VBD called) (NP (DT the) (NNS students))))))) (. .)))	(ROOT (S (NP (DT The) (NNS bankers)) (VP (VBD called) (NP (DT the) (NNS students))) (. .)))	The managers recognized the bankers that called the students .	The bankers called the students .	ex5008	lexical_overlap	le_relative_clause	temp28
entailment	( ( ( The artists ) ( that ( ( the senators ) encouraged ) ) ) ( ( saw ( the secretaries ) ) . ) )	( ( The senators ) ( ( encouraged ( the artists ) ) . ) )	(ROOT (S (NP (NP (DT The) (NNS artists)) (SBAR (WHNP (WDT that)) (S (NP (DT the) (NNS senators)) (VP (VBD encouraged))))) (VP (VBD saw) (NP (DT the) (NNS secretaries))) (. .)))	(ROOT (S (NP (DT The) (NNS senators)) (VP (VBD encouraged) (NP (DT the) (NNS artists))) (. .)))	The artists that the senators encouraged saw the secretaries .	The senators encouraged the artists .	ex5009	lexical_overlap	le_relative_clause	temp26
