gold_label	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence1	sentence2	pairID	heuristic	subcase	template
entailment	( ( ( The tourist ) ( and ( the scientists ) ) ) ( ( admired ( the doctors ) ) . ) )	( ( The scientists ) ( ( admired ( the doctors ) ) . ) )	(ROOT (S (NP (NP (DT The) (NN tourist)) (CC and) (NP (DT the) (NNS scientists))) (VP (VBD admired) (NP (DT the) (NN doctors))) (. .)))	(ROOT (S (NP (DT The) (NNS scientists)) (VP (VBD admired) (NP (DT the) (NN doctors))) (. .)))	The tourist and the scientists admired the doctors .	The scientists admired the doctors .	ex15000	subsequence	se_conjunction	temp44
entailment	( ( ( The professor ) ( and ( the banker ) ) ) ( ( saw ( the author ) ) . ) )	( ( The banker ) ( ( saw ( the author ) ) . ) )	(ROOT (S (NP (NP (DT The) (NN professor)) (CC and) (NP (DT the) (NN banker))) (VP (VBD saw) (NP (DT the) (NN author))) (. .)))	(ROOT (S (NP (DT The) (NN banker)) (VP (VBD saw) (NP (DT the) (NN author))) (. .)))	The professor and the banker saw the author .	The banker saw the author .	ex15001	subsequence	se_conjunction	temp44
entailment	( ( ( The professor ) ( and ( the authors ) ) ) ( ( admired ( the doctor ) ) . ) )	( ( The authors ) ( ( admired ( the doctor ) ) . ) )	(ROOT (S (NP (NP (DT The) (NN professor)) (CC and) (NP (DT the) (NNS authors))) (VP (VBD admired) (NP (DT the) (NN doctor))) (. .)))	(ROOT (S (NP (DT The) (NNS authors)) (VP (VBD admired) (NP (DT the) (NN doctor))) (. .)))	The professor and the authors admired the doctor .	The authors admired the doctor .	ex15002	subsequence	se_conjunction	temp44
entailment	( ( ( The actor ) ( and ( the professor ) ) ) ( ( mentioned ( the lawyer ) ) . ) )	( ( The professor ) ( ( mentioned ( the lawyer ) ) . ) )	(ROOT (S (NP (NP (DT The) (NN actor)) (CC and) (NP (DT the) (NN professor))) (VP (VBD mentioned) (NP (DT the) (NN lawyer))) (. .)))	(ROOT (S (NP (DT The) (NN professor)) (VP (VBD mentioned) (NP (DT the) (NN lawyer))) (. .)))	The actor and the professor mentioned the lawyer .	The professor mentioned the lawyer .	ex15003	subsequence	se_conjunction	temp44
entailment	( ( The scientists ) ( ( believed ( ( the lawyers ) ( and ( the professor ) ) ) ) . ) )	( ( The scientists ) ( ( believed ( the lawyers ) ) . ) )	(ROOT (S (NP (DT The) (NNS scientists)) (VP (VBD believed) (NP (NP (DT the) (NNS lawyers)) (CC and) (NP (DT the) (NN professor)))) (. .)))	(ROOT (S (NP (DT The) (NNS scientists)) (VP (VBD believed) (NP (DT the) (NNS lawyers))) (. .)))	The scientists believed the lawyers and the professor .	The scientists believed the lawyers .	ex15004	subsequence	se_conjunction	temp45
entailment	( ( The authors ) ( ( avoided ( ( the managers ) ( and ( the actors ) ) ) ) . ) )	( ( The authors ) ( ( avoided ( the managers ) ) . ) )	(ROOT (S (NP (DT The) (NNS authors)) (VP (VBD avoided) (NP (NP (DT the) (NNS managers)) (CC and) (NP (DT the) (NNS actors)))) (. .)))	(ROOT (S (NP (DT The) (NNS authors)) (VP (VBD avoided) (NP (DT the) (NNS managers))) (. .)))	The authors avoided the managers and the actors .	The authors avoided the managers .	ex15005	subsequence	se_conjunction	temp45
entailment	( ( The lawyer ) ( ( called ( ( the students ) ( and ( the secretary ) ) ) ) . ) )	( ( The lawyer ) ( ( called ( the students ) ) . ) )	(ROOT (S (NP (DT The) (NN lawyer)) (VP (VBD called) (NP (NP (DT the) (NNS students)) (CC and) (NP (DT the) (NN secretary)))) (. .)))	(ROOT (S (NP (DT The) (NN lawyer)) (VP (VBD called) (NP (DT the) (NNS students))) (. .)))	The lawyer called the students and the secretary .	The lawyer called the students .	ex15006	subsequence	se_conjunction	temp45
entailment	( ( The doctor ) ( ( stopped ( ( the actors ) ( and ( the tourists ) ) ) ) . ) )	( ( The doctor ) ( ( stopped ( the actors ) ) . ) )	(ROOT (S (NP (DT The) (NN doctor)) (VP (VBD stopped) (NP (NP (DT the) (NNS actors)) (CC and) (NP (DT the) (NNS tourists)))) (. .)))	(ROOT (S (NP (DT The) (NN doctor)) (VP (VBD stopped) (NP (DT the) (NNS actors))) (. .)))	The doctor stopped the actors and the tourists .	The doctor stopped the actors .	ex15007	subsequence	se_conjunction	temp45
entailment	( ( The senators ) ( ( encouraged ( ( the tourists ) ( and ( the artist ) ) ) ) . ) )	( ( The senators ) ( ( encouraged ( the tourists ) ) . ) )	(ROOT (S (NP (DT The) (NNS senators)) (VP (VBD encouraged) (NP (NP (DT the) (NNS tourists)) (CC and) (NP (DT the) (NN artist)))) (. .)))	(ROOT (S (NP (DT The) (NNS senators)) (VP (VBD encouraged) (NP (DT the) (NNS tourists))) (. .)))	The senators encouraged the tourists and the artist .	The senators encouraged the tourists .	ex15008	subsequence	se_conjunction	temp45
entailment	( ( ( The artist ) ( and ( the athletes ) ) ) ( danced . ) )	( ( The athletes ) ( danced . ) )	(ROOT (S (NP (NP (DT The) (NN artist)) (CC and) (NP (DT the) (NNS athletes))) (VP (VBD danced)) (. .)))	(ROOT (S (NP (DT The) (NNS athletes)) (VP (VBD danced)) (. .)))	The artist and the athletes danced .	The athletes danced .	ex15009	subsequence	se_conjunction	temp44
entailment	( ( ( The president ) ( and ( the secretary ) ) ) ( ( mentioned ( the manager ) ) . ) )	( ( The secretary ) ( ( mentioned ( the manager ) ) . ) )	(ROOT (S (NP (NP (DT The) (NN president)) (CC and) (NP (DT the) (NN secretary))) (VP (VBD mentioned) (NP (DT the) (NN manager))) (. .)))	(ROOT (S (NP (DT The) (NN secretary)) (VP (VBD mentioned) (NP (DT the) (NN manager))) (. .)))	The president and the secretary mentioned the manager .	The secretary mentioned the manager .	ex15010	subsequence	se_conjunction	temp44
entailment	( ( ( The athletes ) ( and ( the judges ) ) ) ( ( recognized ( the tourists ) ) . ) )	( ( The judges ) ( ( recognized ( the tourists ) ) . ) )	(ROOT (S (NP (NP (DT The) (NNS athletes)) (CC and) (NP (DT the) (NNS judges))) (VP (VBD recognized) (NP (DT the) (NN tourists))) (. .)))	(ROOT (S (NP (DT The) (NNS judges)) (VP (VBD recognized) (NP (DT the) (NN tourists))) (. .)))	The athletes and the judges recognized the tourists .	The judges recognized the tourists .	ex15011	subsequence	se_conjunction	temp44
entailment	( ( ( The manager ) ( and ( the tourists ) ) ) ( ( encouraged ( the president ) ) . ) )	( ( The tourists ) ( ( encouraged ( the president ) ) . ) )	(ROOT (S (NP (NP (DT The) (NN manager)) (CC and) (NP (DT the) (NNS tourists))) (VP (VBD encouraged) (NP (DT the) (NN president))) (. .)))	(ROOT (S (NP (DT The) (NNS tourists)) (VP (VBD encouraged) (NP (DT the) (NN president))) (. .)))	The manager and the tourists encouraged the president .	The tourists encouraged the president .	ex15012	subsequence	se_conjunction	temp44
