gold_label	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence1	sentence2	pairID	heuristic	subcase	template
entailment	( ( Before ( ( the presidents ) ran ) ) ( , ( ( ( the tourist ) shouted ) . ) ) )	( ( The presidents ) ( ran . ) )	(ROOT (S (SBAR (IN Before) (S (NP (DT the) (NNS presidents)) (VP (VBD ran)))) (, ,) (S (NP (DT the) (NN tourist)) (VP (VBD shouted))) (. .)))	(ROOT (S (NP (DT The) (NNS presidents)) (VP (VBD ran)) (. .)))	Before the presidents ran , the tourist shouted .	The presidents ran .	ex25000	constituent	ce_embedded_under_since	temp59
entailment	( ( Though ( ( the doctor ) ( recognized ( the author ) ) ) ) ( , ( ( ( the banker ) ( supported ( the lawyers ) ) ) . ) ) )	( ( The doctor ) ( ( recognized ( the author ) ) . ) )	(ROOT (S (SBAR (IN Though) (S (NP (DT the) (NN doctor)) (VP (VBD recognized) (NP (DT the) (NN author))))) (, ,) (S (NP (DT the) (NN banker)) (VP (VBD supported) (NP (DT the) (NN lawyers)))) (. .)))	(ROOT (S (NP (DT The) (NN doctor)) (VP (VBD recognized) (NP (DT the) (NN author))) (. .)))	Though the doctor recognized the author , the banker supported the lawyers .	The doctor recognized the author .	ex25001	constituent	ce_embedded_under_since	temp59
entailment	( ( Although ( ( the tourist ) ( thanked ( the student ) ) ) ) ( , ( ( ( the judges ) ( recommended ( the athlete ) ) ) . ) ) )	( ( The tourist ) ( ( thanked ( the student ) ) . ) )	(ROOT (S (SBAR (IN Although) (S (NP (DT the) (NN tourist)) (VP (VBD thanked) (NP (DT the) (NN student))))) (, ,) (S (NP (DT the) (NNS judges)) (VP (VBD recommended) (NP (DT the) (NN athlete)))) (. .)))	(ROOT (S (NP (DT The) (NN tourist)) (VP (VBD thanked) (NP (DT the) (NN student))) (. .)))	Although the tourist thanked the student , the judges recommended the athlete .	The tourist thanked the student .	ex25002	constituent	ce_embedded_under_since	temp59
entailment	( ( Since ( ( the professor ) arrived ) ) ( , ( ( ( the senator ) ( saw ( the tourist ) ) ) . ) ) )	( ( The professor ) ( arrived . ) )	(ROOT (S (SBAR (IN Since) (S (NP (DT the) (NN professor)) (VP (VBD arrived)))) (, ,) (S (NP (DT the) (NN senator)) (VP (VBD saw) (NP (DT the) (NN tourist)))) (. .)))	(ROOT (S (NP (DT The) (NN professor)) (VP (VBD arrived)) (. .)))	Since the professor arrived , the senator saw the tourist .	The professor arrived .	ex25003	constituent	ce_embedded_under_since	temp59
entailment	( ( Because ( ( the banker ) performed ) ) ( , ( ( ( the professors ) slept ) . ) ) )	( ( The banker ) ( performed . ) )	(ROOT (S (SBAR (IN Because) (S (NP (DT the) (NN banker)) (VP (VBD performed)))) (, ,) (S (NP (DT the) (NNS professors)) (VP (VBD slept))) (. .)))	(ROOT (S (NP (DT The) (NN banker)) (VP (VBD performed)) (. .)))	Because the banker performed , the professors slept .	The banker performed .	ex25004	constituent	ce_embedded_under_since	temp59
entailment	( ( Though ( ( the authors ) ( saw ( the managers ) ) ) ) ( , ( ( ( the banker ) ( helped ( the tourists ) ) ) . ) ) )	( ( The authors ) ( ( saw ( the managers ) ) . ) )	(ROOT (S (SBAR (IN Though) (S (NP (DT the) (NNS authors)) (VP (VBD saw) (NP (DT the) (NN managers))))) (, ,) (S (NP (DT the) (NN banker)) (VP (VBD helped) (NP (DT the) (NN tourists)))) (. .)))	(ROOT (S (NP (DT The) (NNS authors)) (VP (VBD saw) (NP (DT the) (NN managers))) (. .)))	Though the authors saw the managers , the banker helped the tourists .	The authors saw the managers .	ex25005	constituent	ce_embedded_under_since	temp59
entailment	( ( Because ( ( the banker ) ran ) ) ( , ( ( ( the doctors ) ( saw ( the professors ) ) ) . ) ) )	( ( The banker ) ( ran . ) )	(ROOT (S (SBAR (IN Because) (S (NP (DT the) (NN banker)) (VP (VBD ran)))) (, ,) (S (NP (DT the) (NNS doctors)) (VP (VBD saw) (NP (DT the) (NN professors)))) (. .)))	(ROOT (S (NP (DT The) (NN banker)) (VP (VBD ran)) (. .)))	Because the banker ran , the doctors saw the professors .	The banker ran .	ex25006	constituent	ce_embedded_under_since	temp59
entailment	( ( While ( ( the artist ) danced ) ) ( , ( ( ( the presidents ) performed ) . ) ) )	( ( The artist ) ( danced . ) )	(ROOT (S (SBAR (IN While) (S (NP (DT the) (NN artist)) (VP (VBD danced)))) (, ,) (S (NP (DT the) (NNS presidents)) (VP (VBD performed))) (. .)))	(ROOT (S (NP (DT The) (NN artist)) (VP (VBD danced)) (. .)))	While the artist danced , the presidents performed .	The artist danced .	ex25007	constituent	ce_embedded_under_since	temp59
entailment	( ( Though ( ( the senator ) ( called ( the judges ) ) ) ) ( , ( ( ( the students ) ( admired ( the tourists ) ) ) . ) ) )	( ( The senator ) ( ( called ( the judges ) ) . ) )	(ROOT (S (SBAR (IN Though) (S (NP (DT the) (NN senator)) (VP (VBD called) (NP (DT the) (NN judges))))) (, ,) (S (NP (DT the) (NNS students)) (VP (VBD admired) (NP (DT the) (NN tourists)))) (. .)))	(ROOT (S (NP (DT The) (NN senator)) (VP (VBD called) (NP (DT the) (NN judges))) (. .)))	Though the senator called the judges , the students admired the tourists .	The senator called the judges .	ex25008	constituent	ce_embedded_under_since	temp59
entailment	( ( Though ( ( the judges ) waited ) ) ( , ( ( ( the athlete ) danced ) . ) ) )	( ( The judges ) ( waited . ) )	(ROOT (S (SBAR (IN Though) (S (NP (DT the) (NNS judges)) (VP (VBD waited)))) (, ,) (S (NP (DT the) (NN athlete)) (VP (VBD danced))) (. .)))	(ROOT (S (NP (DT The) (NNS judges)) (VP (VBD waited)) (. .)))	Though the judges waited , the athlete danced .	The judges waited .	ex25009	constituent	ce_embedded_under_since	temp59
